text,percent
"""Te presento a mi novio"" - FRASES QUE TAMBIEN NECESITABA CON URGENCIA HUEVO ARISTEMO TE NECESITABA TANTO",0.3
Cabrones! Os dije q no salierais de españa. Aqui las leyes os protegen! ,0.6
" Ah sí, re natural que se hagan la paja en público ",0.775
"En Biónica llevamos por separado eso y otra específicamente de Redes Neuronales y Lógica Difusa, dos de los temas que más he usado en investigación.   Curiosamente no aprendí nada en esa clase por tener una pésima maestra, mas que a redactar en el formato de la IEEE.",0.025
 Eso de respirarse nuestro oxígeno para en su vida hacer comentarios tan guevones como los de su twitter.,0.8
"Hoy prefieren a un Loro jalabolas que a una persona con ética y moral como  Perez Pirela, después eliminaran a dossier",0.575
"Las bacterias, capaces de degradar el 99% de los hidrocarburos del mar ",0.075
   Les faltó énfasis en la lectura de sus derechos!,0.025
Marico de deprimi horrible por ese hijo de puta,0.95
 Marihuana? Enserio? Q ASCO,0.625
"El otro día me descargue uno de historia gratis y tenía buenos gráficos, no se como irá así que supongo que será divertido descubrir el juego jaja",0
"Yo la primera la veré en catalán ""es el idioma con el que la vi de niño"" después la veré en castellano y si puedo que no se si estará en el cine disponible la veré en VO cines en 4DX me tengo que informar si tengo cerca :/ de los 3 idiomas la que mas me gustaría es en VO",0
  Andar con cojonera por no tirar ,0.875
Países con mayor confianza en los políticos #2018 En los primeros 15 lugares no hay ningún país latinoamericano. ,0
"Ser Maestro en estos tiempos requiere de una gran vocación y compromiso , en sus manos está la Venezuela futura , mi reconocimiento en su día.",0
 Que desgraciado es el ser humano,0.825
"  Si el nutriente del huevo esta en llema.Trata de frielo q la llema quede duro
Eso es lo q yo hago",0.075
 Ni és un depravado. ni es por instinto. es el machismo ejercido sin impunidad. #ésUnaGuerra,0.2
"Para aumentar menciones y expresar nuestro amor libremente hacia BTS he creado este HT #WordsOfLoveForBangtan, pueden expresar todo lo que quieran en el idioma que sea �uiu  Por favor si apoyas esto dar RT, expresarte y compartir con otras cuentas para traducir gracias",0
  Una mamada por twitter marico que Gafo jajajajaja,0.925
Habla del estupido de pablidios ‍�e ,0.725
"   Ahora sí que nos cargó la bruja   nos manda al infierno,… ",0.525
 ¿Te refieres al idioma?  ¡verdad!,0.075
se me rompió el cargador de la computadora me quiero matar ,0.075
" MALNACIDO HIJO DE PUTA, CON LA CARA DE NIÑA QUE TIENES TE HACES EL MACHITO CON UN ANIMAL INDEFENSO TRAUMADO MALPARIDO",1
"Que arrecho la gente que habla de �uestilo de vida” pero no tiene responsabilidades más que las individuales. imagínate, que consejos puedes dar a los 21. No jodas",0.8
"¿Qué va a hacer Sucre si la derecha el 23 de enero se come la luz?   Si ellos pasan la raya, nos vamos para Caracas a defender la Patria, a Maduro y la Revolución.   ¡Esto sí es un cabildo abierto! ",0.075
"Por supuesto a Ramon José  Medina, trimardito súper enchufado colaboracionista de este régimen quien fue artífice de muchos negocios del BOD con el gobierno y metido en negocios con Cuba, no le interesa ninguna Sanchez en contra de estos entes diabólicos",1
"Se acabó la cleptocracia del narcoestado bolivariano. Todos esos que tienen en la miseria y masacran a la población venezolana tienen su fortuna en Europa, cuentas en paraísos fiscales y sus hijos estudiando aquí. Hay que tener mano dura y acortar sus cuentas en Europa.",0.125
 ¡¡Cuanto mamarracho!! Hijo de puta llamando a las calles  ,0.95
Los límites del pensamiento. Sin duda la falta de lectura nos ha afectado mucho como sociedad. ,0.075
"No tengo el cuerpo ideal, no soy el estereotipo de belleza que impone esta sociedad. Mi peso es mayor al que debería tener. Yo soy así y me amo. Las miradas que me dan por no cumplir con sus estándares de belleza ya no me importan. Las gorditas también podemos ser felices. ",0.2
el judío de mi perro está ladrando mucho me quiero SACAR LAS OREJAS bue,0.7
Consumir cerveza de manera moderada trae estos 10 beneficios        *.        ,0.075
  Bien hecho por jalabolas! Jajaja,0.775
Están mediocre que la. Palabra misma ni siquiera lo etiqueta ,0.2
"Ud es gay, si le gusta y le parece lindo un transexual quiere decir q en el fondo ud es gay,  se siente atraido por transexuales q genéticamente son hombres. Q le pasaría a Ángel Ponce si deja de tomar hormonas? su cuerpo vuelve a su estado natural, pq la naturaleza es sabia.",0
No se debe concebir la ciencia como una materia difícil o aburrida. Los niños son científicos por naturaleza porque siempre están experimentando. Hay que orientar esta curiosidad y promover el gusto por la investigación.,0.075
"El #Papa: �uEl sistema económico y la ideología del consumo seleccionan nuestras necesidades y manipulan nuestros sueños, sin tener en cuenta la belleza de la vida compartida y la habitabilidad de la casa común” ",0.075
 : Gobierno de Miranda rinde homenaje a maestros en su día. #MirandoAlFuturo #15Ene #FelizMartes  ,0
"No suelo hacer estas cosas, pero teniendo en cuenta lo sexista que es nuestra sociedad, me encanta encontrar una marca peruana que haga ropa para niñas inspirada en ciencia y tecnología. Pueden seguirla en instagram en ",0.05
que divertido quiero hacerlo,0.175
 Los 10 productos más revolucionarios de la cosmética libre de parabenos #Belleza ,0.025
"Iba a hacer algo en digital pero pinche computadora de vrga, se puso sus moños y Terminó en un cagon",0.775
  Parece una comiquita de Ciudad Gótica.,0.025
"Uno mataba judíos de mierda y el otro busca derechos para la mujer , no es tan difícil ",0.775
Luka Doncic con 19 años ha sido campeón de Europa dos veces y se acaba de convertir en el primer novato en la historia de la NBA que consigue un triple-doble con 30 puntos o más.  Yo con 19 años lo único que había conseguido eran 8 nucleares en el MW2.  Qué hijo de puta.,0.625
"Marico, de pana, aplaudo a Angela y de pié, esa MUJER hizo historia.",0.525
 Pero le falta un punto a los mensajes después de el teléfono. Son falsos,0.05
"A veces no piensan que la manera en que sacaron a una persona de sus vidas no fue adecuada?   Pero después se dan cuenta que mientras ustedes siguieron evolucionando la persona solo se encargo de repetir los mismos patrones tóxicos con otras personas, y se les pasa la mariquera.",0.375
 Es el tercero x q el segundo (el pitufo) también cayo!El tercero debe estar cagado d susto y la comunidad feliz! ,0.6
"Un amigo* comprando computadora:  —¿Y cuáles son tus actividades computacionales principales, amigo? —Escribir y jalármela.  *Obvio no voy a mencionar el nombre de mi amigo por respeto a mi",0.075
"Día difícil , pero empecé enfocada con un delicioso desayuno : Pan integral , claras con pollo a la mexicana y espinacas ",0.025
 Y vino el narco dictador y dijo: -Ya votaron cuerda de guevones jalabolas mascamierda?Y los arrastrados dijeron: -Si mi jefe,1
Miren a este precioso total !!! URGENTE: RT y DIFUNDIR... lo abandonaron y Tania lo está cuidando pero no puede tenerlo mucho tiempo más. Es en la Ciudad de Santiago del Estero. Ojalá consiga pronto una familia que lo adopte y le de amor ,0.025
"Si vos me preguntas hoy, qué carajo es el amor, yo te contesto, míralas a ellas dos son lesbianas",0.525
"Se necesita estar ciego, sordo o muy necio para no ver qué en menos de un mes ha avanzado a pasos firmes, bien por él, esto nos beneficia a todos hasta a ustedes los incrédulos por no decir necios",0.4
 LÉANLO AL MARIDO DE VOKY TONTA.ES UN ENFERMO Y DEGENERADO,0.775
Triste tener que despedir un hermano sólo pido a Dios fortaleza para la familia y para los compañeros con quien trabajó COKY...agente asesinado ayer él estaba en la Deco,0.1
"El consejero de Seguridad Nacional John Bolton sosteniendo un cuaderno hoy en la sesión informativa de la Casa Blanca sobre Venezuela dice: ""Afganistán Bienvenidos a las conversaciones. 5,000 soldados a Colombia"".  Ustedes saben lo que hacen los teros verdad ? Que hizo Maduro ? ",0.125
"¿Qué sería del mapa político latinoamericano sin el caballito de batalla como lo es el ""Castrochavismo""?",0.075
Primer día de clases y perdí mi computadora... como les fue a ustedes?,0.125
¡Orgullo latinoamericano!  ROMA sigue haciendo historia y gana el premio a Mejor película en los #CriticsChoiceAwards. La primera película no hablada en inglés en lograrlo. ,0.075
"No mames, me emociono como si fuera mi relación y en realidad estoy más sola que el perro JULIANTINA SIN FILTRO",0.1
"He visto el comercial navideño de Ford en Venezuela y me siento muy proud de que se hable de Deyna cuando se habla de fútbol, que se hable de fútbol femenino cuando se habla de fútbol, qué  avanzados estamos en ese aspecto y qué bonito nojoda",0.15
 Invita mmgvo,0.85
"Perooooo cierren el culo, si te escracharon lo minimo que podes hacer es cerrar el orto y no hacerte el pija por todos lados ‍�e",0.95
Esta semana nos visitan Judith Becerra y Larry Venable de la Universidad de Arizona. Impartirán un seminario los días 15 y 16 de enero a las 12:30. Tendremos transmisión en vivo. ,0.075
"Mami está cuaima porque no dormí aquí anoche, ¿pa qué coño voy a querer pareja?",0.925
"Con mi aspecto, autopercibirme mujer, sería condenarme a la virginidad. Soy fulero para tipo, para mujer soy un horror. Pero me gusta la propuesta. Gracias.",0.5
No van a dar basto los aviones para toda la gente que se regresa! Mardito hijo de la grandisima puta coño e tu madre pagarás todo el sufrimiento que cada venezolano está llevando!,0.95
"""Mamá cuando les digo que quiero hacer pipí me dan con una tabla en los pies, me pegan"", Rosmelis Guilarte, narra parte de lo que le dijo su hijo epileptico de 14 años",0.2
"Se rompió la computadora hace una semana y ahora me agarran ataques de querer terminar todos esos proyectos que nunca terminé (ni, probablemente, termine) porque siempre cuelgo con los jueguitos. Como el tanguero que extraña a la mina que trata para el orto, pero de los nerdos.",0.35
 Que usted saque pecho por semejante alcaldía tan mediocre sólo me confirma que usted es un mediocre,0.425
 Pajuo te sale mision para que aprenda escribir,0.875
Es un desgraciado que tiene que renunciar antes de que se robe todo chile ,0.65
Me caga esa mamada de tener que saludar y despedirte de beso en el trabajo o escuela TODOS LOS DÍAS. O sea es la misma gente diario ¿pa’ qué tanto? Con un saludito normal de kp2 ya llegué se arma,0.675
 Classic  Te amo y estoy loca que llegues!,0.2
" No merece que le digan señor, es un gran comemierda.",0.95
"Excelente iniciativa, que de hacerse extensiva nos podría transformar en centro regional de intercambio juvenil en todas las áreas ",0.125
"Como si fuera el holocausto judío de la Segunda Guerra Mundial, autoridades estadounidenses colocan números en los brazos de los menores.",0.075
Ascoooooo HDP degenerado mallll ,1
hola. ¿Alguno de tus invitados ha comentado si Vinagre de manzana disuelto en agua en ayunas apoya a activar la función del sistema digestivo ó si cuenta como nutriente alcalino?  Saludos y felicidades por el programa,0.1
AHORA LOS JALABOLAS DE MADURO Y SU COMBO DIRÁN QUE FUE TODO UN ÉXITO LA SALIDA DE PEREZ PIRELA DE VTV. ,0.7
"Al menos seis exministros del difunto expresidente Hugo Chávez, pidieron la renuncia del gobernante Maduro",0.3
"creo malinterpretaron como que me estaba riendo del holocausto nazi y no hay nada mas alejado. al contrario, me indigna que usen la palabra nazi tan libremente como si no significara nada. Me quejo q comparan el feminismo con el nazismo.",0.3
"Castración   química, la ciencia del castigo ",0.1
El ascenso del coronel Luis Hernández  a general de Brigada es el triunfo del condor sobre las ratas. En 2001 le negaron el ascenso por envidia. Dieciocho años litigó Hernández  por su derecho al ascenso y ha ganado. ¡Qué bueno para la Justicia y el corazón de sus amigos!,0.2
 : En esta ciudad nos rodea LA MIERDA MISMA y ahora todos lo saben. Pudranse machitos,0.775
Nunca me voy a cansar de decir que l amig que te deja el deporte son lo mejor que hay,0.1
 China construiría base en la Luna con impresiones 3D ,0.1
"No, yo escribo totona. ",0.625
Ideal para dormir juntos,0.05
Me estoy comiendo una empanada de postre ,0
"Pobres tus viejos, cómo van a sufrir con vos, igualmente algo de culpa tendrán por ser tan maleducada y tan depravada.  Por favor no molestes más. Y bañate y que sea con hielo y mucho jabón feminazi de todo moda. ",0.6
El cinismo feminazi ya es insoportable: pedían que a #Esperanza la asesinaran intrauterinamente (quemándola con solución salina o bien despedazándola con bisturí); como no lo lograron pidieron cesárea prematura. Esperanza murió y ahora se hacen las compungidas.,0.125
    JAJAJAJJAJAJA chabestia comemierda si de aquí no se ha ido nadi… ,1
 Me caes maaaaaaaal negro de mierda,0.95
"Ahorita nadie va a convencer a nadie por quién votar, así que tómense la Nerviflora. Si uno se burla y/o critica las evasivas de Hugo, las tarugadas de Carly, las falsedades de Nayid y lo que sea que esté haciendo la hermana Narcisa, es por puro deporte y esparcimiento, mara.",0
BrainJS: la biblioteca de redes neuronales en Javascript muy actualizada recientemente ,0.025
 Y este periodista mediocre pensó que dió la primicia!,0.525
  MAMAGUEVO HIJO DE PUTA JALABOLAS,1
      En el Alzheimer no hay trasto… ,0
"Se indignan por mi camisa de que gonorrea, pero quién les dice algo cuando traen media teta afuera o medio culo afuera... Cada quien con lo suyo.",0.65
"Extraño vzla, a mi familia, mi casa, la universidad, mis amigos, mi trabajo... Extraño mi vida.",0
Mi antojo de galletas es tan grande en serio :; voy a llorar,0.05
"Un niño de tres años que fue encontrado con vida en medio de un bosque de Carolina del Norte (EE.UU.), después de dos días desaparecido, aseguró que pasó todo ese tiempo entre los árboles junto a un oso",0.05
"Venezuela, crisis política, crisis económica, inseguridad, no hay medicinas, no hay alimentos, no hay gas, no hay efectivo, no hay un coño, pero tenemos patria jajajaja, una cosa si hay que agradecer a la crisis es que a regenerado a los borrachos por que la curda está cara",0.525
Vamos nojoda. ,0.45
"—No tardó en abrirle la puerta y hacerse a un lado.— Ey, pasa, pasa. Ya está por empezar. —Dijo mientras volvía a entrar para terminar de conectar el televisor con su computadora.— ",0.025
" :   Ojalá yo también pudiera ir allá, le lanzaría unos puputops, rogando le cayeran en la je…",0.525
Tú siempre me cuelgas desgraciado.,0.775
Y quien la lidera? El pajuo ese? ,0.875
"Si también has estado resfriado o engripado en estas fechas, esto es para ti!! .  La vitamina C o ácido ascórbico es un nutriente con una gran variedad de funciones, entre ellas…",0.05
"Mi mamá dice que estoy loca por comprarme 3 pares de tennis blancos, pero... ¿que hago? Son tan perfectos.",0.125
Yo mirando el pizarron en matemática. ,0
"Falta como una hora y media para salir de la universidad, estoy en clase de impuestos y se que debería prestar atencion",0.025
"No se dejen engañar: Evita era una prostituta, anti feminismo y no era la abanderada de los humildes, vivía rodeada de riquezas. ",0.7
"Por qué piko taaaan grandes las nuevas tetas de Nadia la Kchorra, amigos ",0.875
"La Casa Blanca advierte que ""todas las opciones"" están sobre la mesa en relación a Venezuela |  ""EEUU anunció sanciones contra PDVSA, para evitar que el régimen de Nicolás Maduro siga robándose los activos de los venezolanos"". ",0.075
Mariquita.,0.975
Me gustó un video de   FANTASMA EN EL HOSPITAL: HISTORIA REAL | DOCTOR VIC,0
 Sí jajaja cobro más que toda mi familia completa,0.025
El vecino escualido me dice aquí nos salva es una invasión. Le dije aquí los brutos somos los chavistas deja la envidia!!,0.95
"Tomar dos litros de agua te ayuda a la liberación de toxinas, fortalecimiento del sistema inmune, entre otros beneficios.",0
"No, nada de propaganda, eso es lo que quieren hacer creer. Es un texto, es cultura. Que (desde mi punto de vista) todos debieran leer y tener cada quien su opinión, como te digo, no es doctrina, lo importante es despertar el pensamiento crítico. Que vaya que hace falta.",0.625
  Mariquita!,0.975
 Si tomas cerveza que se note ,0.175
 Vinieron a cobrar la deuda en oro xq saben que en enero el TRIMARDITO se va,0.925
"Los hombres son tan asquerosos se atajan de la lucha de las mujeres ""gente buena contra gente mala"" pero siguen teniendo las mismas actitudes machistas con la primer mujer que se les cruce. Chicos el cambio tambien esta en ustedes, no sean ignorantes!",0.875
Quiero recordar que fue Hugo Chávez quien primero dijo que había que salir de Citgo porque era una carga muy pesada para Pdvsa. Y fue Maduro quien hipotecó Citgo a los rusos. Esa es la verdad.,0.125
Hoy me tiene harto que celebren como héroe/víctima a periodistas que quieren que los venezolanos desconozcan a Maduro pero acatan las órdenes de censura de CONATEL.,0.4
" Es un estúpido me tiene harta, a nosotras nos trata como quiere en casa y después se pone la careta de buen pibe",0.875
Bueno genia de la lectura ya que sabes tanto me podrías iluminar y explicarme desde la ciencia cuando comienza la vida por favor,0
puta porque me hablas cagada de la mina si después le vas a chupar el culo??? al final terminas siendo todo lo q criticas,0.9
"Inflación Nicolás Maduro, salarios Nicolás Maduro, desocupación Nicolás Maduro, pobreza Nicolás Maduro, recesión Nicolás Maduro, presupuesto de ciencia Nicolás Maduro. Todos los logros de la gestión macrista se redujeron a Nicolás Maduro.",0.4
"Quieren señales??? Deroguen el impuesto más imbécil que tiene este país: el de la renta financiera. Un capricho necio de Massa y peronistas que representa el 0,14% de recaudación de la Afip y ahuyenta inversiones financieras. Aprendan a sumar, políticos inútiles!!!",0.85
"No hay correlación de discriminación por piel y la pregunta de la ""cabra culia"" - infiero que una niña-. ",0.325
Le tira el quilombo al capo mafia del viejo Franco Macri q está muy enfermo y será el pato de la boda q cargará con todas las culpas Estrategia de Manual!!!,0.55
Gracias al profesor Francisco Marin por organizar el acto religioso para conmemorar el día del maestro. Bello momentos donde se logro reunir a un gran numero de educadores que hacen vida…,0.05
"No demuestro un carajo, pero siento un montón.",0.3
"mardito, trimardito, cabeza e webo, pan con huevo, aweboniado, pajuo, mongolico, jalabolas, coño e tu madre, muchacho marico, caido de la mata, cabeza e ponque, marico triste, becerro, bruja, traga sable, toche, bicho, malpario, cuaima, coño e tu pepa, comemierda, webon,",1
" Jajaja, de lo peorcito, como dicen en Venezuela: 'el propio jalabolas' en ambos sentidos.",0.525
 Ha este negro hijo de puta hay es que cerrarle la cuenta mucho desgraciado,0.925
"Os dejo con un vídeo del primer partido de en Ligue 1 con el , repito primer partido, para que veáis cómo ve el fútbol este fenómeno. Infinidad de detalles que muestran a un jugador soberbio con una mente brillante.",0
"México se transformará en EL PARAÍSO DEL GUEVON, pues  ofrece dar más dinero a ninis que no hacen nada que a tracalear",0.85
"URGENTE a mis amigos y familiares en Venezuela compren alimentos por lo menos para 1 semana, luego entrará la ayuda humanitaria , la intervención militar es 100% seguro, la FAN no va a resistir mas de 48 horas de combate , que dios se apiade de nosotros",0.025
"Tengo demasiada ira acumulada y esta computadora solo me hace explotar de la peor manera
Es demasiado frustrante",0.275
" : dave: dale marico, anda pa'llápapá de dave: dale chamito dalelinda: verga mamawebo dale o te caigo coñazo",0.85
 : Ay mi vida tenes un mani de pito y te queres hacer el lindo estúpido ortopédico,0.525
una foto de tu perro bastará para conquistarme,0.025
 En Venezuela,0
"Me pregunto yo , ¿uno como un simple ciudadano no puede hacer nada para que desaforen a este desgraciado? ",0.625
Gafo lo tuyo fue tu culpa ,0.5
El tema de que el #10yearchallenge se pueda estar usando para alimentar redes neuronales de reconocimiento facial es interesante. ,0
China puso cerca de 90.000 millones en América Latina entre 2005 y 2016. En 2017 fueron 18.000 millones. Para este año las expectativas son aún mayores.,0.025
"Paraguay está en Latinoamérica. Latinoamérica usa el 0,4% de la  energía  eléctrica que se  produce en el mundo y el consumo paraguayo es el 0,007% de ese 0,4%. Pesamos tan poco en todas  estas  tablas que  apenas  somos     responsables  del 0,1% del CO2",0.025
"nforma a la opinión pública el decreto 2362 del 24 de diciembre del 2018 expedido por el gobierno nacional, por el cual se adoptan medidas para la suspensión general de permisos para el porte de armas de fuego en Colombia. ",0.025
"Jalabolas commies...
 Jalabolas corporativos...
Jalabolas del jalabolas...

Estamos llenos de Smithers ",0.8
"Una fuente de la cancillería de Brasil asegura que 300 militares de Israel que llegaron a ese país vienen en misión de colaborar en labores de rescate por tragedia al colapsar represa en mina. ""No tiene nada que ver con el tema Venezuela"", asegura.- ",0.075
"Le acaban de decir una guarrada a la piba mía en la calle y le grité ""no ves que es una nena, pajero enfermo"" bajó la cabeza y la gente lo miró mal. Hace un tiempo hubiéramos bajado nosotras la cabeza y nos quedábamos con la vergüenza. Hoy se la llevó él. Gracias chicas.",0.3
"La sonrisa es el idioma universal de los hombres inteligentes, Victor Ruiz Iriarte  #frases #quotes",0.025
q ganas de mandarlos todos a la mierda,0.875
Jóvenes de toda la región podrán participar en el sexto campamento latinoamericano de ciencia en Lavalleja ,0
"Ministerio de Ciencia y Tecnología (CITMA) y Centros de Investigaciones cubanos conmemoran el 15 de enero como Día de la Ciencia Cubana, creado por #Fidel en 1960, realizando jornadas científicas, discusión de trabajos y resultados destacados de nuestra ciencia.",0
Más El viernes en el banco salía llorando en una silla de ruedas una viejita que le habían dicho que su miserable bono no lo habían hecho efectivo porque la página de pago estaba en reconstrucción. ¡Maldito! por eso tu Dios te tiene sin poder caminar... por maldito.,0.725
La belleza de la compañía..,0.025
"Lo tienes todo, hasta ese estupido carácter que me hace verme en ti.",0.7
"Buenas, hoy les vengo a pedir una mano: Estoy buscando alguien q se cope en llevar a dar una vuelta en avioneta o algo así a un alumno cuyo sueño fue volar desde niño.  Vale remarcar q tiene 80 añitos y nunca pudo hacerlo porque labura desde los 12.",0.025
"Si piensas que todo el mundo en el fondo es bueno, es porque te falta muchísima mierda por comer.",0.9
Hace menos de un mes que atracaron a mi señora madre poniéndola un machete en el cuello.,0.3
Jajajaj¿ Presiones de izquierda o el cagazo que tiene en su «honorable» institución?,0.95
"Tómate un par de segundos, para pensar sobre tu estúpido twitt... ",0.7
Yo recuerdo que decían que pasaria lo contrario si AMLO ganaba...  donde estaran todos esos economistas que querian asustar usando frases asi?,0.425
"O te tocaron el culo, la teta, o te agarran de la cintura en un boliche.. estanfo sobria o mamada, y sos una histérica que no te garchan XQ DECIS QUE NO!",1
 Nojoda meneses cagon,0.875
 El arte de ser marico,0.975
"ómenla cabrones corruptos de la como verán en este vídeo, ya hicieron enojar al pueblo. Hey Eduardo Medina Mora, la gente tiene el derecho de reclamar tu maldito cinismo, nosotros pagamos tu sueldo millonario! ",0.85
"No he comido en más de 24 horas, lloré toda la noche y estoy perdiendo sangre a lo estupido porque estoy en mis día… ",0.275
"Perdiste permanentemente datos de tu Pendrive, computadora, tablet, smartphone u otros dispositivos informáticos? Tranquilo... existen formas gratuitas y fáciles para recuperarles por ti mismo",0.05
"Que hueva que vuelvan a lo mismo y que ensucien lo bonito qué pasó hoy, el amor, La Paz y la inclusión que nos dio",0.425
"De tal perro, tal perra... maldita puta  ",0.95
 El hombre que aparenta ser el guevon más grande del mundo.. Y cagá una tragavenada...,0.575
Si le habremos sido infiel al vino toro con alguno de estos... ,0.075
 Ah listo me siento la mina mas fea de este puto mundo ,0.75
"Marica, usted es todo lo que yo quiero cogerme esta noche.",0.575
Pero que COÑO es esto,0.95
 Mejora tu salud y combate afecciones comunes gracias al deporte y sobre todo a una buena alimentación #Consejos ,0.05
"Asi las cosas...  Si votaste por MORENA y te asaltan, roban en casa o quitan tu carro, tranquilo, son delitos menores, si te violan, tambien es un delito menor. Tal cual ",0.025
"No les pasa que a veces miran a alguien que les gusta mucho, o que quieren y piensan joder, es que es una puta obra de arte",0.8
 Degenerado. Y ella seguro lo sabe y lo consiente,0.525
 Aunque no es divertido jaja. Saludos!,0.025
"Pues se ve divertido. Y no corre riesgo ninguno de los dos. 
Lo de la falda es fantástico. Jejejej. ",0.025
  A mi me parece más sexy la ropa interior negra que roja can’t change my mind,0
Ya empezaron los rumores con el color de cabello de los chicos...,0.1
.... felicidades... buen trabajo..... ahora por favor... denle seguimiento hasta las últimas consecuencias...e informen a la gente     gracias ,0
"Pedazo de sorete se solidario con las personas a las q estafo y con todos los Argentinos a los q no robo,pero cuando no el populismo latinoamericano SIEMPRE del lado de los delicuentes,pero suerte de a poquito estan dejando de existir",0.35
Recomiendo �uLuciano Mellera: Infantiloide” en Netflix - Muy gracioso este argentino. Gran dominio de escena. ⁦ Algunas partes de su comedia es hilarante y en general divertido,0
"Gracias por escribir, remitiremos tu comentario al área de programación para ver la posibilidad que programen películas en su idioma original.",0.05
"MIRA COMO NOS PONEMOS hijo de puta.
Se va a caer",0.95
"quizas vaya al barza, meta algunos goles, eso no le quita que su carrera se vino abajo por puto, se la pasa de enamoradizo por todos lados menos futbol. lastima.",0.65
   Método 100% comprobado y efectivo. Genio Marcelo,0.025
    No si tonto no esta estás pendejo defender lo indefendible estúpido eres,0.925
"Inscripciones abiertas desde hoy 14 de enero al 18. Fórmate en carreras #AgroSENA con ciencia, tecnología, innovación y emprendimiento ",0.05
"Perdona el atrevimiento, ¿Se graduan de jalabolas? Animal con ojos?  De cdsm? O las tres nominaciones juntas porque el doctorado los gradua de hdlgp",0.95
"Bien desafortunado el comentario, este tema es muy sensible para quienes no tienen otra opción que esperar, un montón de tiempo para tomar alguna hora y ni pensar el tiempo para realizarse un examen, de chiste no tiene NADA! Desbocada.",0.5
"  Jajajajaja por lo que veo, eres muy necio",0.525
"Esta foto de la gente feliz, ¿Será un montaje ?... A cuántos reunió con cara de felicidad? , ¿pagaron para que posarán? y cuántos buses contrataron para reunirlos en el sitio ? ???? ... o la foto fue tomada antes de su éxodo fuera de Venezuela",0.375
"me dan tremendas ganas de llorar cuando veo esa frase q dice �usi un dia no vuelvo hace mierda todo” porque es tan real, yo no se si mañana cuando salga por la puerta de mi cada voy a volver, si hoy va a ser el ultimo dia q vea a mi familia/amigos, parece una locura pero es asi",0.625
"Falso: La educación sexual con enfoque de género reduciría, por ejemplo la transmisión del Virus de Papiloma Humano, causante de cáncer de cuello uterino en las mujeres, usualmente por hombres irresponsables que no se supieron/quisieron cuidar. Eso debe aprenderse en el colegio. ",0.125
Así cuando eres un arrastrado y no sabes ni que escribir jajajajajjaja. (FD),0.85
"uando la ciencia se utiliza para integrar a la sociedad como un gran rompecabezas, no puede no darse las gracias.  Gracias por la inclusión.",0.075
"Me estoy armando de valor para denunciar a mi cuaima, que no deja salir a beber con mis amigos, y me tiene cachifeándo y metido en la cocina todo el dia, a dónde tengo que ir? a mí concejo comunal? Q alguien me ayude por favor ",0.425
"legó la hora de que TODOS los políticos en el exilio expliquen a Venezuela de qué carajo viven? Cómo viajan por el mundo en primera clase, cómo pagan lujosos hoteles, cómo almuerzan sus familias, cómo pagan la renta, porque no veo a ninguno vendiendo empanadas, ni trapeando...",0.8
El Omega 3 es un nutriente fundamental que debemos incorporar a nuestra dieta cotidiana. Constituye una de las GRASAS SALUDABLE con importantes funciones preventivas y de desarrollo. Dato fundamental EL CUERPO,0.025
La Inteligencia Artificial lleva a un problema matemático sin solución ,0.075
"Algo que hoy me confirmó la hipocresía q nos domina, fue ver en la oficina del depravado explotador de menores Consejal Zisuela del Frente Renovador, una gran foto del Papa Francisco y en el cajón del escritorio una gran dotación de condones,para violar menores.",0.275
Seamos nuestros propios padrinos y madrinas del trabajo y a estudiar para el 3 de febrero ,0.075
" Ellos misnos se escoñetan, cuando se dan cuenta se fueron a la fosa solitos, BRUTUBELOS. jalabolas.",0.875
Quizá esa sea la diferencia entre un movimiento de desobediencia civil real y efectivo y un paripé liderado por élites que fueron franquistas antes que indepes y sus hijos que se ponen una capucha negra y se creen el Che pero lloran si la poli los detiene.,0.325
A Gustavo Cordera lo desollaron vivo por decir una idiotez �ude género”.  A este degenerado llamado Pablo Marchetti le van a dejar pasar que cuente sus perversiones incestuosas sólo porque es pareja de una diputada.  Qué asco.,0.625
Jajajajajaja por perro sarnoso ,0.9
¡Salido de ciencia ficción! #China planea construir su propia base lunar con impresiones 3D  ,0.05
Me pagan ami por ser un estupido.,0.725
Aplico para conmigo arrecho constante. ,0.65
 Demasiado mediocre,0.525
Que sucio eres Maduro hp ...no tienes pudor trimardito ..como se te ocurre encadenarte en plena trasmisión de la misa de estos dos grandes beisbolista...sinico bastardo ... pronto pagarás por todo el daño,0.95
Cuando el trimardito acento del puto indiano te hace doler la cabeza... Literal!,0.925
 cómplice de los abusos...desgraciado,0.7
Ja jajajaja si dátela de guevon ...... no es lo que tú quisiste hacer con ese tuit es que fue lo que él 80% de los venezolanos pensamos o es que no te das cuenta que haber participado en esas elecciones después de lo que el pueblo dijo el 16 de julio te quedaste al descubierto,0.85
Q carajo tiene q ver el shampoo con el eslogan ? Pesima la acción de querer subirse a una ola q nada tiene q ver con lo comercial ! Dan asco chicos !!,0.35
" No te juzgaré por ser un necio, pero podría hacerlo",0.3
" :  Quien es el estúpido que hace semejante cretinada. Así no hay inversión. Mejor si es más baja, eso benef…",0.65
 Muchas gracias jalabolas,0.975
 yo me cago mil veces en esos cabrones,0.95
